county,objectid,county_fips,geoid,total_vax,new_vax,total_population,percent_total,pop_18_up,pop_16_up,update_dts
Catawba,1196,35,37035010502,1362,1362,3501,46.9979296066253,2701,2898,2021-04-29
Catawba,1223,35,37035011501,920,920,4725,23.883696780893,3731,3852,2021-04-29
Catawba,1224,35,37035011602,891,891,5162,22.4659606656581,3817,3966,2021-04-29
Catawba,1263,35,37035010402,943,943,5051,20.9555555555556,4369,4500,2021-04-29
Catawba,1292,35,37035011000,377,377,2140,24.3697478991597,1527,1547,2021-04-29
Catawba,1293,35,37035010101,1463,1463,5938,28.6750294002352,4882,5102,2021-04-29
Catawba,1621,35,37035011504,1618,1618,6577,30.3963930114597,5275,5323,2021-04-29
Chatham,155,37,37037020402,870,870,4499,26.8684373069796,3098,3238,2021-04-29
Chatham,156,37,37037020401,1233,1233,6099,26.5618267987936,4469,4642,2021-04-29
Chatham,163,37,37037020600,1349,1349,5187,30.8131566925537,4282,4378,2021-04-29
Chatham,164,37,37037020300,625,625,2790,24.8904818797292,2314,2511,2021-04-29
Chatham,166,37,37037020200,2714,2714,8788,37.4654886802871,6876,7244,2021-04-29
Chatham,167,37,37037020104,2378,2378,5370,51.0958315427589,4573,4654,2021-04-29
Chatham,192,37,37037020800,3283,3283,9288,41.0991487230846,7732,7988,2021-04-29
Chatham,193,37,37037020105,2616,2616,5516,60.9080325960419,4151,4295,2021-04-29
Chatham,194,37,37037020702,1181,1181,3996,36.8256937948238,3128,3207,2021-04-29
Chatham,195,37,37037020701,3459,3459,6970,55.9346701164295,6078,6184,2021-04-29
Chatham,196,37,37037020103,2378,2378,4616,63.1774707757705,3715,3764,2021-04-29
Chatham,206,37,37037020500,782,782,3626,26.6076896903709,2815,2939,2021-04-29
Chatham,224,37,37037020106,1813,1813,4593,49.589715536105,3518,3656,2021-04-29
Cherokee,1421,39,37039930400,1180,1180,5969,23.3109442907942,4995,5062,2021-04-29
Cherokee,1436,39,37039930601,730,730,3421,23.9737274220033,2925,3045,2021-04-29
Cherokee,1442,39,37039930500,1353,1353,5297,29.6580447172293,4549,4562,2021-04-29
Cherokee,1540,39,37039930100,558,558,4228,16.0668010365678,3375,3473,2021-04-29
Cherokee,1719,39,37039930602,960,960,4158,26.1224489795918,3630,3675,2021-04-29
Cherokee,1763,39,37039930200,278,278,2155,16.1066048667439,1637,1726,2021-04-29
Cherokee,1788,39,37039930300,460,460,2741,20.9949794614331,2113,2191,2021-04-29
Chowan,1307,41,37041930101,1510,1510,5230,36.4382239382239,4103,4144,2021-04-29
Chowan,1308,41,37041930200,1598,1598,6515,29.0598290598291,5258,5499,2021-04-29
Chowan,1544,41,37041930102,696,696,2352,35.1160443995964,1824,1982,2021-04-29
Clay,982,43,37043950100,1342,1342,5030,30.9216589861751,4255,4340,2021-04-29
Clay,985,43,37043950200,1281,1281,5916,26.6763848396501,4775,4802,2021-04-29
Cleveland,1878,45,37045951300,781,781,2891,33.0651989839119,2239,2362,2021-04-29
Cleveland,1886,45,37045951502,201,201,1192,20.4060913705584,938,985,2021-04-29
Cleveland,1904,45,37045950400,1664,1664,7254,30.1013024602026,5259,5528,2021-04-29
Cleveland,1905,45,37045950700,2255,2255,7554,36.5655910491325,5964,6167,2021-04-29
Cleveland,1945,45,37045950101,1019,1019,4997,25.0799901550578,3983,4063,2021-04-29
Cleveland,1995,45,37045950800,1180,1180,4579,31.533939070016,3466,3742,2021-04-29
Cleveland,1996,45,37045951400,1340,1340,6397,25.1454306624132,5050,5329,2021-04-29
Cleveland,1997,45,37045951200,1328,1328,5651,29.2382210479965,4401,4542,2021-04-29
Cleveland,1998,45,37045951100,697,697,2742,30.3175293605916,2247,2299,2021-04-29
Cleveland,1999,45,37045950302,1273,1273,6054,25.7431749241658,4814,4945,2021-04-29
Cleveland,2000,45,37045950301,999,999,4522,27.1099050203528,3526,3685,2021-04-29
Cleveland,2001,45,37045950602,1120,1120,6019,24.5775729646697,4295,4557,2021-04-29
Cleveland,2002,45,37045951501,1113,1113,5785,23.0769230769231,4733,4823,2021-04-29
Cleveland,2070,45,37045950601,736,736,3820,23.4993614303959,3060,3132,2021-04-29
Cleveland,2071,45,37045951601,788,788,4302,22.3229461756374,3414,3530,2021-04-29
Cleveland,2110,45,37045951000,895,895,3092,36.8161250514192,2381,2431,2021-04-29
Cleveland,2133,45,37045951602,901,901,4656,22.8738258441229,3766,3939,2021-04-29
Cleveland,2154,45,37045950500,574,574,3310,21.048771543821,2662,2727,2021-04-29
Cleveland,2162,45,37045950900,732,732,2649,36.3095238095238,1951,2016,2021-04-29
Cleveland,2181,45,37045950200,993,993,4647,25.6921086675291,3770,3865,2021-04-29
Cleveland,2186,45,37045951503,601,601,2618,30.4612265585403,1894,1973,2021-04-29
Cleveland,2188,45,37045950102,561,561,2551,26.625533934504,2057,2107,2021-04-29
Columbus,1489,47,37047931300,813,813,5637,19.6045333976368,3933,4147,2021-04-29
Columbus,1516,47,37047930400,904,904,3596,28.3385579937304,3129,3190,2021-04-29
Columbus,1517,47,37047931000,976,976,5405,21.8932256617317,4296,4458,2021-04-29
Columbus,1545,47,37047930800,1335,1335,3919,41.537025513379,3104,3214,2021-04-29
Columbus,1689,47,37047930300,693,693,2859,30.2356020942408,2174,2292,2021-04-29
Columbus,1690,47,37047930100,972,972,4615,25.6396729095226,3671,3791,2021-04-29
Columbus,1691,47,37047930700,888,888,4313,24.1238793806031,3508,3681,2021-04-29
Columbus,1692,47,37047930500,991,991,4393,26.6828217555197,3607,3714,2021-04-29
Columbus,1693,47,37047930900,970,970,4738,26.5972031806965,3541,3647,2021-04-29
Columbus,1776,47,37047930200,414,414,2235,23.7657864523536,1687,1742,2021-04-29
Columbus,1777,47,37047931200,1275,1275,7034,21.0604558969277,5912,6054,2021-04-29
Columbus,1778,47,37047931100,615,615,3764,20.9326072157931,2812,2938,2021-04-29
Columbus,1783,47,37047930600,565,565,3560,19.8176078568923,2733,2851,2021-04-29
Craven,1321,49,37049961100,1905,1905,8791,29.530305379011,6323,6451,2021-04-29
Craven,1437,49,37049960403,2002,2002,4050,60.4468599033816,3212,3312,2021-04-29
Craven,1472,49,37049960800,578,578,1989,36.5360303413401,1536,1582,2021-04-29
Craven,1476,49,37049960200,1440,1440,8244,21.4126394052045,6459,6725,2021-04-29
Craven,1477,49,37049961001,3888,3888,10989,45.1201114076825,8308,8617,2021-04-29
Craven,1478,49,37049961303,905,905,4164,26.6568483063328,3309,3395,2021-04-29
Craven,1479,49,37049960101,1827,1827,3454,56.6511627906977,3096,3225,2021-04-29
Craven,1505,49,37049960500,2020,2020,7715,33.6106489184692,5978,6010,2021-04-29
Craven,1506,49,37049960600,1588,1588,6237,33.622697438069,4558,4723,2021-04-29
Craven,1508,49,37049960404,1247,1247,2954,46.4432029795158,2662,2685,2021-04-29
Craven,1509,49,37049961202,31,31,4385,0.743227043874371,4123,4171,2021-04-29
Craven,1528,49,37049961301,570,570,3647,19.6011004126547,2777,2908,2021-04-29
Craven,1597,49,37049960300,1398,1398,6484,26.6285714285714,5143,5250,2021-04-29
Craven,1664,49,37049961002,1086,1086,4176,32.3310509080083,3205,3359,2021-04-29
Craven,1665,49,37049960401,1814,1814,4620,42.7931115829205,4049,4239,2021-04-29
Craven,1666,49,37049961302,689,689,5264,17.4298001517835,3788,3953,2021-04-29
Craven,1754,49,37049961201,69,69,3009,3.23185011709602,2135,2135,2021-04-29
Craven,1755,49,37049960700,621,621,1700,42.7980702963473,1438,1451,2021-04-29
Craven,1760,49,37049960900,633,633,2032,39.5131086142322,1602,1602,2021-04-29
Craven,1766,49,37049960102,785,785,4450,23.3491969066032,3258,3362,2021-04-29
Craven,1786,49,37049960402,1400,1400,4137,42.501517911354,3195,3294,2021-04-29
Cumberland,188,51,37051001603,670,670,3887,22.8046289993193,2812,2938,2021-04-29
Cumberland,189,51,37051001604,1093,1093,8113,19.199016335851,5383,5693,2021-04-29
Cumberland,190,51,37051003102,965,965,5452,25.1433038040646,3542,3838,2021-04-29
Cumberland,191,51,37051003310,554,554,5162,14.8844707146695,3632,3722,2021-04-29
Cumberland,220,51,37051000701,2013,2013,5446,47.4204946996466,4045,4245,2021-04-29
Cumberland,221,51,37051003103,911,911,5579,21.768219832736,4054,4185,2021-04-29
Cumberland,222,51,37051003104,981,981,6916,19.6317790674405,4832,4997,2021-04-29
Cumberland,223,51,37051003800,515,515,2754,22.4107919930374,2267,2298,2021-04-29
Cumberland,277,51,37051002401,150,150,1439,13.7614678899083,1061,1090,2021-04-29
Cumberland,278,51,37051003406,14,14,1642,1.03092783505155,1306,1358,2021-04-29
Cumberland,279,51,37051980100,,,0,,0,0,2021-04-29
Cumberland,295,51,37051980200,,,441,,441,441,2021-04-29
Cumberland,296,51,37051003408,36,36,4918,1.05386416861827,3348,3416,2021-04-29
Cumberland,297,51,37051003401,17,17,3317,0.787037037037037,2143,2160,2021-04-29
Cumberland,298,51,37051003405,8,8,1923,0.608365019011407,1311,1315,2021-04-29
Cumberland,299,51,37051003403,14,14,4337,0.459921156373193,3022,3044,2021-04-29
Cumberland,300,51,37051003402,,,3801,,3801,3801,2021-04-29
Cumberland,301,51,37051003404,,,2697,,2697,2697,2021-04-29
Cumberland,302,51,37051003407,,,1763,,1739,1739,2021-04-29
Cumberland,325,51,37051002600,1069,1069,5241,26.6716566866268,3802,4008,2021-04-29
Cumberland,328,51,37051001400,1114,1114,6257,22.4461011484989,4708,4963,2021-04-29
Cumberland,331,51,37051001601,1145,1145,7461,20.1407211961302,5465,5685,2021-04-29
Cumberland,333,51,37051003304,1205,1205,7038,20.6300291046054,5742,5841,2021-04-29
Cumberland,334,51,37051003001,2374,2374,13267,23.3707422721008,9717,10158,2021-04-29
Cumberland,398,51,37051002300,745,745,4360,20.654283337954,3475,3607,2021-04-29
Cumberland,399,51,37051001700,1150,1150,9127,17.442742302442,6371,6593,2021-04-29
Cumberland,400,51,37051002200,234,234,2296,12.2963741460851,1886,1903,2021-04-29
Cumberland,401,51,37051003204,1237,1237,8374,19.9580509841884,5947,6198,2021-04-29
Cumberland,403,51,37051001903,606,606,4105,17.5499565595135,3314,3453,2021-04-29
Cumberland,404,51,37051003201,2363,2363,12694,26.1278195488722,8482,9044,2021-04-29
Cumberland,407,51,37051003309,1015,1015,6546,18.8102297998517,5256,5396,2021-04-29
Cumberland,409,51,37051003312,943,943,6671,18.4035909445746,4971,5124,2021-04-29
Cumberland,441,51,37051001000,461,461,2556,21.2149102623102,2128,2173,2021-04-29
Cumberland,443,51,37051003307,553,553,4235,16.7982989064399,3174,3292,2021-04-29
Cumberland,473,51,37051002700,1872,1872,8289,27.8571428571429,6385,6720,2021-04-29
Cumberland,474,51,37051002501,1684,1684,7613,27.9131443726173,5924,6033,2021-04-29
Cumberland,475,51,37051002502,1223,1223,7852,19.6308186195827,6115,6230,2021-04-29
Cumberland,476,51,37051002503,963,963,4488,26.0129659643436,3579,3702,2021-04-29
Cumberland,479,51,37051003700,1496,1496,7144,26.7525035765379,5380,5592,2021-04-29
Cumberland,480,51,37051001100,775,775,3912,23.6424649176327,3191,3278,2021-04-29
Cumberland,481,51,37051002800,1343,1343,6426,25.2206572769953,5116,5325,2021-04-29
Cumberland,482,51,37051000500,287,287,2288,16.0424818334265,1749,1789,2021-04-29
Cumberland,483,51,37051000200,317,317,2202,19.7630922693267,1555,1604,2021-04-29
Cumberland,484,51,37051000600,1657,1657,5566,36.8713840676457,4323,4494,2021-04-29
Cumberland,487,51,37051000900,1050,1050,4848,26.5486725663717,3895,3955,2021-04-29
Cumberland,488,51,37051001200,1007,1007,5156,25.3524672708963,3848,3972,2021-04-29
Cumberland,489,51,37051001500,516,516,2954,22.405557967868,2220,2303,2021-04-29
Cumberland,490,51,37051001800,496,496,2353,25.8333333333333,1847,1920,2021-04-29
Cumberland,491,51,37051001902,809,809,4516,22.5034770514604,3525,3595,2021-04-29
Cumberland,494,51,37051002100,901,901,3839,29.1963707064161,3037,3086,2021-04-29
Cumberland,497,51,37051001901,281,281,1976,18.2112767336358,1482,1543,2021-04-29
Cumberland,498,51,37051003203,870,870,5472,20.82336045955,4106,4178,2021-04-29
Cumberland,501,51,37051003302,816,816,6131,17.6089771255934,4459,4634,2021-04-29
Cumberland,502,51,37051003305,868,868,6161,17.5,4811,4960,2021-04-29
Cumberland,503,51,37051002002,728,728,4882,18.8698807672369,3784,3858,2021-04-29
Cumberland,505,51,37051003002,531,531,2697,23.9620938628159,2127,2216,2021-04-29
Cumberland,506,51,37051000702,854,854,2279,46.5648854961832,1784,1834,2021-04-29
Cumberland,507,51,37051003311,257,257,2885,10.8256107834878,2335,2374,2021-04-29
Cumberland,508,51,37051003313,761,761,8160,13.4191500617175,5524,5671,2021-04-29
Cumberland,602,51,37051002504,1349,1349,7315,25.1726068296324,5119,5359,2021-04-29
Cumberland,612,51,37051003600,536,536,5426,12.6504602312957,4105,4237,2021-04-29
Cumberland,613,51,37051003500,502,502,4621,13.3973845743261,3617,3747,2021-04-29
Cumberland,617,51,37051003205,929,929,5123,23.4300126103405,3813,3965,2021-04-29
Cumberland,620,51,37051002001,440,440,3074,18.1518151815182,2369,2424,2021-04-29
Cumberland,623,51,37051003314,798,798,7618,13.5622025832767,5721,5884,2021-04-29
Cumberland,624,51,37051002402,413,413,3021,16.5796868727419,2407,2491,2021-04-29
Cumberland,708,51,37051000800,714,714,2684,31.974921630094,2181,2233,2021-04-29
Cumberland,780,51,37051002900,865,865,4075,25.9915865384615,3246,3328,2021-04-29
Currituck,822,53,37053110402,990,990,4043,30.2844906699296,3234,3269,2021-04-29
Currituck,962,53,37053110101,844,844,947,97.1231300345224,864,869,2021-04-29
Currituck,963,53,37053110301,853,853,4636,22.4119810825013,3607,3806,2021-04-29
Currituck,980,53,37053110302,550,550,3705,18.4873949579832,2869,2975,2021-04-29
Currituck,1081,53,37053110401,752,752,3635,26.0929909784872,2832,2882,2021-04-29
Currituck,1176,53,37053110200,997,997,7960,15.9571062740077,5984,6248,2021-04-29
Currituck,1294,53,37053110102,226,226,1437,19.7552447552448,1136,1144,2021-04-29
Currituck,1304,53,37053990100,,,0,,0,0,2021-04-29
Dare,1464,55,37055970200,1801,1801,4759,43.4499396863691,4006,4145,2021-04-29
Dare,1465,55,37055970300,2452,2452,6505,44.9908256880734,5405,5450,2021-04-29
Dare,1466,55,37055970102,1327,1327,3471,46.7912552891396,2788,2836,2021-04-29
Dare,1467,55,37055970101,2453,2453,4158,68.7114845938375,3414,3570,2021-04-29
Dare,1526,55,37055970602,316,316,1888,20.7485226526592,1466,1523,2021-04-29
Dare,1590,55,37055970502,1175,1175,3649,39.6156439649359,2896,2966,2021-04-29
Dare,1593,55,37055970601,2335,2335,7782,37.973654252724,5958,6149,2021-04-29
Dare,1653,55,37055970400,1475,1475,2938,58.6947871070434,2443,2513,2021-04-29
Dare,1747,55,37055970501,200,200,1072,21.8340611353712,865,916,2021-04-29
Dare,1796,55,37055990100,,,0,,0,0,2021-04-29
Dare,1798,55,37055990200,,,0,,0,0,2021-04-29
Davidson,19,57,37057060304,804,804,3635,28.4501061571125,2711,2826,2021-04-29
Davidson,27,57,37057061500,1386,1386,6309,29.2590246991767,4599,4737,2021-04-29
Davidson,31,57,37057061201,1153,1153,6337,22.8045886075949,4955,5056,2021-04-29
Davidson,32,57,37057060302,1145,1145,4063,33.646782250955,3267,3403,2021-04-29
Davidson,33,57,37057062001,951,951,4513,24.1738688357905,3843,3934,2021-04-29
Davidson,38,57,37057060700,884,884,5734,20.5533596837945,4191,4301,2021-04-29
Davidson,40,57,37057060602,676,676,2625,32.4065196548418,2021,2086,2021-04-29
Davidson,63,57,37057061400,384,384,3141,15.2441445017864,2429,2519,2021-04-29
Davidson,64,57,37057060900,891,891,5015,23.2941176470588,3684,3825,2021-04-29
Davidson,65,57,37057060400,1173,1173,5162,27.2981149639283,4261,4297,2021-04-29
Davidson,70,57,37057061600,526,526,2796,25.1795117280996,2001,2089,2021-04-29
Davidson,71,57,37057060201,1276,1276,4603,31.2056737588652,3975,4089,2021-04-29
Davidson,72,57,37057060203,1473,1473,6054,29.6437915073455,4788,4969,2021-04-29
Davidson,73,57,37057060301,1554,1554,4796,39.8359395026916,3740,3901,2021-04-29
Davidson,74,57,37057061702,1262,1262,7222,22.2300510833187,5435,5677,2021-04-29
Davidson,75,57,37057060303,1145,1145,4032,33.5678686602169,3341,3411,2021-04-29
Davidson,76,57,37057061804,1393,1393,6405,26.518180087569,5045,5253,2021-04-29
Davidson,77,57,37057060101,1469,1469,5566,34.9595430747263,3953,4202,2021-04-29
Davidson,89,57,37057060800,801,801,3764,26.3747118867303,2925,3037,2021-04-29
Davidson,90,57,37057061100,1607,1607,7195,27.269641948074,5745,5893,2021-04-29
Davidson,91,57,37057061000,913,913,4891,22.4710804824022,3831,4063,2021-04-29
Davidson,95,57,37057060601,926,926,4540,26.5177548682703,3344,3492,2021-04-29
Davidson,96,57,37057061803,670,670,3107,25.0842381130663,2597,2671,2021-04-29
Davidson,97,57,37057061701,1155,1155,5069,28,3993,4125,2021-04-29
Davidson,98,57,37057061202,706,706,3069,29.9533305048791,2273,2357,2021-04-29
Davidson,99,57,37057061703,729,729,4751,20.1158940397351,3558,3624,2021-04-29
Davidson,108,57,37057060202,454,454,2427,23.4383066597832,1851,1937,2021-04-29
Davidson,109,57,37057061901,1024,1024,5796,21.3422259274698,4594,4798,2021-04-29
Davidson,122,57,37057060500,1151,1151,5617,24.5102214650767,4538,4696,2021-04-29
Davidson,123,57,37057061802,1614,1614,7775,25.8944328573721,5950,6233,2021-04-29
Davidson,124,57,37057061300,497,497,2323,28.8115942028986,1687,1725,2021-04-29
Davidson,125,57,37057062002,675,675,4035,20.448348985156,3173,3301,2021-04-29
Davidson,133,57,37057061902,855,855,5421,18.3910518391052,4452,4649,2021-04-29
Davidson,135,57,37057060102,2285,2285,7593,37.1907552083333,5977,6144,2021-04-29
Davie,876,59,37059080700,915,915,6012,18.4438621245717,4797,4961,2021-04-29
Davie,928,59,37059080200,1681,1681,5377,37.8262826282628,4270,4444,2021-04-29
Davie,953,59,37059080300,3647,3647,8998,49.958904109589,6963,7300,2021-04-29
Davie,1054,59,37059080400,1542,1542,4883,37.7478580171359,3977,4085,2021-04-29
Davie,1055,59,37059080500,1138,1138,4635,30.4848647200643,3537,3733,2021-04-29
Davie,1158,59,37059080100,1674,1674,8355,24.8515439429929,6491,6736,2021-04-29
Davie,1159,59,37059080600,1232,1232,3997,37.1196143416692,3207,3319,2021-04-29
Duplin,969,61,37061090702,1163,1163,6586,21.7261348776387,5089,5353,2021-04-29
Duplin,1143,61,37061090400,1039,1039,5434,22.7302559614964,4375,4571,2021-04-29
Duplin,1144,61,37061090200,548,548,4963,14.3455497382199,3556,3820,2021-04-29
Duplin,1145,61,37061090100,1099,1099,9362,15.5313736574336,6786,7076,2021-04-29
Duplin,1146,61,37061090701,1002,1002,3682,31.8398474737846,3113,3147,2021-04-29
Duplin,1147,61,37061090802,849,849,5675,20.3841536614646,4118,4165,2021-04-29
Duplin,1148,61,37061090502,801,801,4611,21.3828083288841,3586,3746,2021-04-29
Duplin,1212,61,37061090300,965,965,5913,20.3243470935131,4562,4748,2021-04-29
Duplin,1240,61,37061090600,607,607,3885,18.8158710477371,3142,3226,2021-04-29
Duplin,1241,61,37061090501,833,833,5803,19.1935483870968,4247,4340,2021-04-29
Duplin,1242,61,37061090801,455,455,3053,20.9484346224678,2074,2172,2021-04-29
Durham,158,63,37063001801,2030,2030,8618,31.3223268014195,6379,6481,2021-04-29
Durham,170,63,37063001707,3807,3807,7085,62.8010557571759,5957,6062,2021-04-29
Durham,175,63,37063000301,880,880,2381,44.8750637429883,1934,1961,2021-04-29
Durham,203,63,37063002007,2318,2318,4855,56.9953282517826,3990,4067,2021-04-29
Durham,205,63,37063001502,2382,2382,5928,48.2968369829684,4848,4932,2021-04-29
Durham,235,63,37063001802,1290,1290,8121,21.9649242295249,5736,5873,2021-04-29
Durham,236,63,37063002100,2500,2500,9200,29.868578255675,8265,8370,2021-04-29
Durham,237,63,37063001900,1693,1693,4418,42.8065739570164,3955,3955,2021-04-29
Durham,238,63,37063000700,1750,1750,3682,57.9470198675497,2987,3020,2021-04-29
Durham,239,63,37063001601,2393,2393,6435,46.3041795665635,5020,5168,2021-04-29
Durham,265,63,37063001604,3056,3056,6381,56.6765578635015,5258,5392,2021-04-29
Durham,266,63,37063002018,4429,4429,9587,53.7239204269772,8191,8244,2021-04-29
Durham,303,63,37063001808,3303,3303,10407,40.969982634582,7824,8062,2021-04-29
Durham,304,63,37063002021,1634,1634,4285,43.8187181550013,3639,3729,2021-04-29
Durham,305,63,37063002025,2293,2293,6746,43.3869441816462,5119,5285,2021-04-29
Durham,324,63,37063001705,2002,2002,5050,49.1529585072428,3977,4073,2021-04-29
Durham,326,63,37063002015,1767,1767,5801,39.3716577540107,4331,4488,2021-04-29
Durham,327,63,37063002013,1763,1763,4679,45.3796653796654,3717,3885,2021-04-29
Durham,332,63,37063002028,2467,2467,10201,27.4966562639322,8920,8972,2021-04-29
Durham,394,63,37063001603,2615,2615,6829,46.3652482269504,5411,5640,2021-04-29
Durham,395,63,37063000600,2418,2418,5504,54.5331529093369,4366,4434,2021-04-29
Durham,397,63,37063001706,2007,2007,5321,44.8692152917505,4380,4473,2021-04-29
Durham,402,63,37063001809,1455,1455,6217,30.130461793332,4744,4829,2021-04-29
Durham,405,63,37063002027,2854,2854,10567,32.8045977011494,8585,8700,2021-04-29
